category,brand,price,rating,burner_count,material,grid_material,oven_capacity,height,width,depth,image_path,product_url
اجاق گاز,بوگر,10500000,,پنج شعله,آهن با روکش استیل,چدن,nan,90,87,45,D:/اجاق گاز/image_1.jpg,https://www.digikala.com/product/dkp-17692529/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A8%D9%88%DA%AF%D8%B1-%D9%85%D8%AF%D9%84-905/?ad_variant_id=61637355
اجاق گاز,دوو,31408350,4.4,چهار شعله,استیل,چدن,nan,94,90,65,D:/اجاق گاز/image_2.jpg,https://www.digikala.com/product/dkp-4018445/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-dgc5-2101n/
اجاق گاز,هاکان,4750000,3.6,پنج شعله,ام‌دی‌اف,چدنی,nan,90,90,52,D:/اجاق گاز/image_3.jpg,https://www.digikala.com/product/dkp-13326264/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D8%B1%D9%88%D8%B4%DB%8C%D8%B4%D9%87-%D9%81%D9%86%D8%AF%DA%A9-%D8%AF%D8%A7%D8%B1-%D8%AF%D9%88-%D8%AF%D8%B1%D8%A8-%D8%AC%D8%A7-%D9%82%D8%A7%D8%B4%D9%88%D9%82%DB%8C/
اجاق گاز,بوگر,12000000,,nan,nan,nan,nan,90,nan,45,D:/اجاق گاز/image_4.jpg,https://www.digikala.com/product/dkp-15975445/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A8%D9%88%DA%AF%D8%B1-%D9%85%D8%AF%D9%84-%DB%B9%DB%B1%DB%B0-%D9%BE%D9%84%D8%A7%D8%B3/?ad_variant_id=55136305
اجاق گاز,بوگر,11100000,,nan,nan,nan,nan,90,nan,45,D:/اجاق گاز/image_5.jpg,https://www.digikala.com/product/dkp-15997344/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A8%D9%88%DA%AF%D8%B1-%D9%85%D8%AF%D9%84-904/?ad_variant_id=55137303
اجاق گاز,بوگر,13000000,4.2,پنج شعله,استیل,چدن,nan,90,nan,45,D:/اجاق گاز/image_6.jpg,https://www.digikala.com/product/dkp-15998215/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A8%D9%88%DA%AF%D8%B1-%D9%85%D8%AF%D9%84-911-%D9%BE%D9%84%D8%A7%D8%B3/
اجاق گاز,اسنوا,27250000,4.3,پنج شعله,استیل,چدن,90,86,90,60,D:/اجاق گاز/image_7.jpg,https://www.digikala.com/product/dkp-8839457/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-sgc5-6111n-valentino-series/
اجاق گاز,دنپاسر,6174000,3.1,پنج شعله,آهن,چدنی,nan,90,90,60,D:/اجاق گاز/image_8.jpg,https://www.digikala.com/product/dkp-12183605/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%AF%D9%86%D9%BE%D8%A7%D8%B3%D8%B1-%D9%85%D8%AF%D9%84-den3k/
اجاق گاز,دوو,30740000,4.1,پنج شعله,استیل,چدن,nan,94,90,65,D:/اجاق گاز/image_9.jpg,https://www.digikala.com/product/dkp-4018740/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%B1%D9%88%D9%85%DB%8C%D8%B2%DB%8C-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-dgc5-2102n/
اجاق گاز,هاکان,4940000,4.1,پنج شعله,ام‌دی‌اف,چدنی,nan,90,90,52,D:/اجاق گاز/image_10.jpg,https://www.digikala.com/product/dkp-13277813/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D9%BE%D9%86%D8%AC-%D8%B4%D8%B9%D9%84%D9%87-%DA%86%D9%87%D8%A7%D8%B1-%D8%AF%D8%B1/
اجاق گاز,اسنوا,29608060,4.5,پنج شعله,استیل,چدنی,90,86,90,60,D:/اجاق گاز/image_11.jpg,https://www.digikala.com/product/dkp-4976009/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-sgc5-6121n-valentino-series/
اجاق گاز,دوو,33008020,4.3,پنج شعله,استیل,چدنی,90,94,65,90,D:/اجاق گاز/image_12.jpg,https://www.digikala.com/product/dkp-4975465/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-dgc5-2112n/
اجاق گاز,اسنوا,26100000,4.2,پنج شعله,استیل,چدنی,110,86,90,60,D:/اجاق گاز/image_13.jpg,https://www.digikala.com/product/dkp-4977240/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-sgc5-3122n-adrina-series/
