category,brand,price,rating,capacity_people,features,pot_material,body_material,capacity,image_path,product_url
پلوپز,نانانی,4480000.0,,,دارای سینی سرعت بالا در عملکرد برنامه پخت بخارپز تایمر,nan,پلاستیک مقاوم,7.0,D:/پلوپز/image_1.jpg,https://www.digikala.com/product/dkp-14327963/%D9%87%D9%88%D8%A7%D9%BE%D8%B2-%D9%86%D8%A7%D9%86%D8%A7%D9%86%DB%8C-%D9%85%D8%AF%D9%84-nho-021/?ad_variant_id=53831869
پلوپز,پارس خزر,3334000.0,4.4,2.0,تایمر,تفلون نچسب,فلز,0.6,D:/پلوپز/image_2.jpg,https://www.digikala.com/product/dkp-26662/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-rc-61-tyan/
پلوپز,پارس خزر,3699000.0,4.3,8.0,nan,تفلون نچسب,فلز,1.8,D:/پلوپز/image_3.jpg,https://www.digikala.com/product/dkp-52239/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-rc-181-tyan/
پلوپز,مه پویا,3275000.0,,8.0,تایمر,تفلون نچسب,فلزرنگ شده الکترواستاتیک,1.8,D:/پلوپز/image_4.jpg,https://www.digikala.com/product/dkp-686338/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%85%D9%87-%D9%BE%D9%88%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-tm-800/?ad_variant_id=1261894
پلوپز,پارس خزر,5294000.0,4.0,8.0,تایمر,آلومینیوم با تفلون نچسب,پلاستیکی,1.8,D:/پلوپز/image_5.jpg,https://www.digikala.com/product/dkp-26701/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-dmc-181p/
پلوپز,پارس خزر,3676000.0,4.4,8.0,تایمر,تفلون نچسب,استیل آبکاری شده,1.8,D:/پلوپز/image_6.jpg,https://www.digikala.com/product/dkp-2591420/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-rc-181ts-new-version/
پلوپز,پارس خزر,2890000.0,4.3,4.0,تایمر,آلومینیوم با لایه داخلی تفلون نچسب,پلیمرمقاوم در برابر حرارت,,D:/پلوپز/image_7.jpg,https://www.digikala.com/product/dkp-1657815/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-kanduj-101tsp/
پلوپز,پارس خزر,4289000.0,4.4,12.0,تایمر,آلومینیوم با تفلون نچسب,فلزی با رنگ اپوکسی,2.7,D:/پلوپز/image_8.jpg,https://www.digikala.com/product/dkp-26734/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-rc271-tyan/
پلوپز,پارس خزر,2990000.0,4.3,4.0,nan,آلومینیوم با لایه داخلی تفلون نچسب,پلیمرمقاوم در برابر حرارت,1.0,D:/پلوپز/image_9.jpg,https://www.digikala.com/product/dkp-26714/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-rc-101tsp/
پلوپز,پارس خزر,3053000.0,4.2,8.0,تایمر,تفلون نچسب,پلیمری مقاوم در برابر حرارت,1.8,D:/پلوپز/image_10.jpg,https://www.digikala.com/product/dkp-26716/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-rc181tsp-candoj/
پلوپز,میگل,5750000.0,4.3,6.0,nan,nan,پلاستیک,3.0,D:/پلوپز/image_11.jpg,https://www.digikala.com/product/dkp-2317266/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%85%DB%8C%DA%AF%D9%84-%D9%85%D8%AF%D9%84-grc-830/
پلوپز,پارس خزر,3200000.0,4.3,4.0,تایمر,تفلون نچسب,فلز,1.0,D:/پلوپز/image_12.jpg,https://www.digikala.com/product/dkp-2690475/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-101-%D8%AA%DB%8C%D8%A7%D9%86/
