category,brand,price,rating,capacity,energy_rating,height,width,depth,water_consumption,power_consumption,display,door_opening
0.0,0.12,30294270,4.3,0.9375,0.75,0.02770233568712656,0.024374999999999994,0.03716814159292035,0.4444444444444444,0.75,0.6153846153846154,1.0
0.0,0.84,16929000,4.2,0.1875,0.25,0.04725692558392178,0.0325,0.05309734513274336,0.2222222222222222,0.75,0.23076923076923078,0.0
0.0,0.0,30961150,4.0,0.9375,0.75,0.02770233568712656,0.024999999999999994,0.04424778761061947,0.5555555555555556,0.75,0.6153846153846154,1.0
0.0,0.84,7649000,4.3,0.375,0.0,0.03856599674090168,0.06625,0.023008849557522124,0.5555555555555556,0.75,0.0,0.0
0.0,0.4,22968000,4.0,0.75,0.75,0.02770233568712656,0.024374999999999994,0.05026548672566371,0.5555555555555556,0.75,0.0,1.0
0.0,0.84,8390000,4.3,0.375,0.75,0.03856599674090168,0.06625,0.023008849557522124,0.5555555555555556,0.625,0.0,0.0
0.0,0.12,23600000,4.3,0.75,0.75,0.02770233568712656,0.024499999999999994,0.03716814159292035,0.5555555555555556,0.75,0.0,1.0
0.0,0.6,10800000,4.0,0.625,1.0,0.9293862031504616,0.625,0.9823008849557523,0.7777777777777777,0.75,0.15384615384615385,0.0
0.0,0.0,30489000,4.4,0.8125,0.75,0.02770233568712656,0.024374999999999994,0.05044247787610619,0.5555555555555556,0.75,0.0,1.0
0.0,0.6,5489000,3.9,0.0,0.75,0.043020097772949475,0.022499999999999992,0.04070796460176991,0.6666666666666666,1.0,0.0,0.0
0.0,0.0,36756100,4.5,0.9375,0.75,0.02770233568712656,0.024374999999999994,0.05044247787610619,0.5555555555555556,0.75,0.38461538461538464,1.0
0.0,0.84,31000000,4.5,0.9375,0.75,0.02770233568712656,0.024999999999999994,0.04424778761061947,0.5555555555555556,0.75,0.0,1.0
0.0,0.4,38280000,4.2,0.9375,0.75,0.02770233568712656,0.024374999999999994,0.05044247787610619,0.1111111111111111,0.75,0.15384615384615385,1.0
0.0,0.84,28086200,4.3,0.8125,0.75,0.02770233568712656,0.024999999999999994,0.033628318584070796,0.5555555555555556,0.75,0.6153846153846154,1.0
0.0,0.4,24434950,4.9,0.75,0.75,0.02770233568712656,0.024374999999999994,0.05026548672566371,0.5555555555555556,0.75,0.0,1.0
0.0,0.4,35169000,5.0,0.9375,0.75,0.02770233568712656,0.024374999999999994,0.05044247787610619,0.5555555555555556,0.75,0.6153846153846154,1.0
0.0,0.44,10619000,3.3,0.4375,0.75,0.04617055947854426,0.075,0.04601769911504425,1.0,0.375,0.5384615384615385,0.0
0.0,0.4,32720000,4.6,0.8125,0.75,0.02770233568712656,0.024999999999999994,0.05132743362831858,0.5555555555555556,0.75,0.0,1.0
0.0,0.6,10999000,3.2,0.5625,0.0,0.017925040738728942,0.0049999999999999975,0.01592920353982301,0.1111111111111111,0.75,0.15384615384615385,0.0
0.0,0.0,33006500,4.5,0.9375,0.75,0.02770233568712656,0.024374999999999994,0.05044247787610619,0.5555555555555556,0.75,0.7692307692307693,1.0
0.0,0.84,6699000,4.2,1.0,0.0,0.04291146116241172,0.0475,0.019469026548672566,0.5555555555555556,0.625,0.0,0.0
0.0,0.0,33600000,4.6,0.9375,0.75,0.02770233568712656,0.024999999999999994,0.04424778761061947,0.5555555555555556,0.75,0.6153846153846154,1.0
0.0,0.4,27835550,4.5,0.8125,0.75,0.02498642042368278,0.024374999999999994,0.04424778761061947,0.5555555555555556,0.75,0.6153846153846154,1.0
0.0,0.84,31782000,4.4,0.9375,0.5,0.02770233568712656,0.024999999999999994,0.04424778761061947,0.5555555555555556,0.75,0.6153846153846154,1.0
0.0,0.84,32327400,4.4,0.9375,0.75,0.02770233568712656,0.024999999999999994,0.04424778761061947,0.5555555555555556,0.75,0.0,1.0
0.0,0.0,28998000,4.1,0.8125,0.75,0.02770233568712656,0.024374999999999994,0.05044247787610619,0.5555555555555556,0.75,0.15384615384615385,1.0
0.0,0.12,23682870,4.3,0.625,0.75,0.02770233568712656,0.024374999999999994,0.021238938053097345,0.4444444444444444,0.875,0.0,1.0
0.0,0.84,36625000,4.6,0.9375,0.5,0.02770233568712656,0.037500000000000006,0.04424778761061947,0.5555555555555556,0.75,0.0,1.0
0.0,0.96,29000000,3.7,0.9375,0.5,0.02770233568712656,0.024999999999999994,0.04424778761061947,0.5555555555555556,0.75,1.0,1.0
0.0,0.4,30975000,4.8,0.8125,0.75,0.02770233568712656,0.024374999999999994,0.05044247787610619,0.5555555555555556,0.75,0.7692307692307693,1.0
0.0,0.6,8613000,3.9,0.3125,1.0,0.03422053231939162,0.057499999999999996,0.029203539823008842,0.4444444444444444,0.75,0.0,0.0
0.0,0.84,29894350,4.5,0.8125,0.75,0.02770233568712656,0.024999999999999994,0.033628318584070796,0.5555555555555556,0.75,0.0,1.0
0.0,0.52,28200000,4.2,0.9375,0.75,0.02770233568712656,0.024374999999999994,0.04424778761061947,0.5555555555555556,0.75,0.23076923076923078,1.0
0.0,0.84,17799000,4.2,0.1875,0.25,0.04399782726778924,0.024999999999999994,0.049557522123893805,0.5555555555555556,0.75,0.6153846153846154,0.0
0.0,0.84,29099000,3.8,0.9375,0.5,0.02770233568712656,0.024999999999999994,0.04424778761061947,0.5555555555555556,0.75,0.7692307692307693,1.0
0.0,0.84,11000000,4.2,0.75,0.25,0.02770233568712656,0.011249999999999996,0.03185840707964602,0.5555555555555556,0.75,0.6153846153846154,0.0
0.0,0.12,22000000,4.4,0.8125,0.75,0.02770233568712656,0.024999999999999994,0.03008849557522124,0.4444444444444444,0.875,0.0,1.0
0.0,0.4,33660000,4.8,0.8125,0.75,0.02770233568712656,0.024374999999999994,0.05044247787610619,0.5555555555555556,0.75,0.7692307692307693,1.0
0.0,0.0,23766160,4.7,0.8125,0.75,0.02498642042368278,0.024374999999999994,0.04424778761061947,0.5555555555555556,0.75,0.6153846153846154,1.0
0.0,0.4,30252870,4.3,0.8125,0.75,0.02498642042368278,0.024374999999999994,0.049557522123893805,0.5555555555555556,0.75,0.0,1.0
0.0,0.36,31850000,4.7,0.9375,0.75,0.02770233568712656,0.024999999999999994,0.03716814159292035,0.1111111111111111,0.75,0.46153846153846156,1.0
0.0,0.84,30942000,4.3,0.8125,0.75,0.0005431830526887588,0.056249999999999994,0.033628318584070796,0.5555555555555556,0.75,0.0,1.0
0.0,0.84,28860000,4.0,0.8125,0.5,0.02770233568712656,0.024999999999999994,0.033628318584070796,0.5555555555555556,0.75,0.6923076923076923,1.0
0.0,0.0,26488790,4.4,0.8125,0.75,0.022270505160239,0.024999999999999994,0.04424778761061947,0.5555555555555556,0.75,0.6153846153846154,1.0
0.0,0.36,31700000,3.8,0.8125,0.75,0.02770233568712656,0.024999999999999994,0.04336283185840707,0.5555555555555556,0.75,0.0,0.5
0.0,0.36,35070000,5.0,0.9375,0.75,0.02770233568712656,0.024999999999999994,0.03716814159292035,0.1111111111111111,0.75,0.46153846153846156,1.0
0.0,0.44,8910000,5.0,0.25,0.75,0.04399782726778924,0.0625,0.03716814159292035,0.2222222222222222,0.875,0.5384615384615385,0.0
0.0,0.84,12468000,4.0,0.75,0.25,0.04399782726778924,0.018750000000000003,0.035398230088495575,0.2222222222222222,0.75,0.6153846153846154,0.0
0.0,0.36,27299000,3.3,0.8125,0.75,0.02770233568712656,0.024999999999999994,0.04070796460176991,0.4444444444444444,0.75,0.0,1.0
0.0,0.4,24699000,4.1,0.8125,0.75,0.02498642042368278,0.024374999999999994,0.049557522123893805,0.5555555555555556,0.75,0.7692307692307693,1.0
0.0,0.4,30505610,4.9,0.8125,0.75,0.02770233568712656,0.024999999999999994,0.049557522123893805,0.1111111111111111,0.75,0.07692307692307693,1.0
0.0,0.84,26864500,4.5,0.8125,0.5,0.02770233568712656,0.024999999999999994,0.033628318584070796,0.5555555555555556,0.75,0.6153846153846154,1.0
0.0,0.44,7260000,4.6,0.875,0.75,0.01901140684410646,0.0625,0.017699115044247787,1.0,0.375,0.5384615384615385,0.0
0.0,0.36,31350000,4.8,0.8125,0.75,0.02770233568712656,0.024999999999999994,0.03716814159292035,0.4444444444444444,0.75,0.7692307692307693,1.0
0.0,0.4,37500000,4.7,0.9375,0.75,0.02770233568712656,0.024374999999999994,0.05044247787610619,0.5555555555555556,0.75,0.6153846153846154,1.0
0.0,0.84,27875880,3.9,0.8125,0.75,0.02770233568712656,0.024999999999999994,0.035398230088495575,0.5555555555555556,0.75,0.0,1.0
