category,brand,price,rating,capacity,energy_rating,baskets,height,width,depth,image_path,product_url
ماشین ظرفشویی,دوو,38599000,4.2,14,nan,سه,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_1.jpg,https://www.digikala.com/product/dkp-17301978/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-14-%D9%86%D9%81%D8%B1%D9%87-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-dw-200w/
ماشین ظرفشویی,ایکس ویژن,29255200,4.3,14,nan,سه,84.5,59.8,59.8,D:/ماشین ظرفشویی/image_2.jpg,https://www.digikala.com/product/dkp-18494156/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-14-%D9%86%D9%81%D8%B1%D9%87-%D8%A7%DB%8C%DA%A9%D8%B3-%D9%88%DB%8C%DA%98%D9%86-%D9%85%D8%AF%D9%84-s150ws/
ماشین ظرفشویی,اسنوا,34181050,4.3,14,nan,سه,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_3.jpg,https://www.digikala.com/product/dkp-16344911/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-14-%D9%86%D9%81%D8%B1%D9%87-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-sdw-a20w/
ماشین ظرفشویی,پاکشوما,38499000,4.2,15,nan,سه,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_4.jpg,https://www.digikala.com/product/dkp-11089138/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-15-%D9%86%D9%81%D8%B1%D9%87-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-pdv-3513-s/
ماشین ظرفشویی,پاکشوما,30978000,4.3,15,nan,سه,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_5.jpg,https://www.digikala.com/product/dkp-11088654/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-pda-3511-s/
ماشین ظرفشویی,دوو,42900000,4.0,14,nan,سه,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_6.jpg,https://www.digikala.com/product/dkp-17339315/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-14-%D9%86%D9%81%D8%B1%D9%87-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-dw-200s/
ماشین ظرفشویی,مجیک,31900000,4.2,6,nan,دو,54.0,53.0,41.0,D:/ماشین ظرفشویی/image_7.jpg,https://www.digikala.com/product/dkp-12388401/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D9%85%D8%AC%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-kor-1107a/
ماشین ظرفشویی,اسنوا,37252100,3.8,14,nan,سه,84.5,60.0,60.0,D:/ماشین ظرفشویی/image_8.jpg,https://www.digikala.com/product/dkp-16715318/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-14-%D9%86%D9%81%D8%B1%D9%87-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-sdw-a20s/
ماشین ظرفشویی,کندی,37016300,4.1,15,nan,سه,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_9.jpg,https://www.digikala.com/product/dkp-13921592/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%DA%A9%D9%86%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-pfd-315/
ماشین ظرفشویی,پاکشوما,25900000,3.6,13,nan,دو,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_10.jpg,https://www.digikala.com/product/dkp-17929609/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-13-%D9%86%D9%81%D8%B1%D9%87-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-pda3311s/
