category,brand,price,rating,juice_container_capacity,blade_material,input_size,pulp_container_desc,image_path,product_url
آبمیوه گیری,فارموکس,7560000,nan,یک,nan,80 mm,حجم سه  برای تفاله,D:/آبمیوه گیری/image_1.jpg,https://www.digikala.com/product/dkp-17168653/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D9%81%D8%A7%D8%B1%D9%85%D9%88%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-fx3314/?ad_variant_id=59715758
آبمیوه گیری,پارس خزر,4999100,4,1,nan,75,دارای حجم 2,D:/آبمیوه گیری/image_2.jpg,https://www.digikala.com/product/dkp-32109/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-tiger/
آبمیوه گیری,پاناسونیک,15000000,3.8,1.5,nan,75,دارای حجم 2,D:/آبمیوه گیری/image_3.jpg,https://www.digikala.com/product/dkp-104669/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D9%BE%D8%A7%D9%86%D8%A7%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-mj-dj31/
آبمیوه گیری,ماتسو,8990000,nan,0.6,nan,80 میلی متر,مخزن تفاله گیر با ظرفیت 0.6,D:/آبمیوه گیری/image_4.jpg,https://www.digikala.com/product/dkp-16226333/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D9%85%D8%A7%D8%AA%D8%B3%D9%88-%D9%85%D8%AF%D9%84-ma-640/?ad_variant_id=56106428
آبمیوه گیری,هیملر,9750000,nan,1,nan,8.4,مخزن تفاله 3 ی با جداشوندگی آسان,D:/آبمیوه گیری/image_5.jpg,https://www.digikala.com/product/dkp-13822857/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D9%87%DB%8C%D9%85%D9%84%D8%B1-%D9%85%D8%AF%D9%84-hjc-4250/?ad_variant_id=63028859
آبمیوه گیری,پارس خزر,3365000,4.1,0.7,nan,nan,دارای حجم 1.3,D:/آبمیوه گیری/image_6.jpg,https://www.digikala.com/product/dkp-27959/%D8%A2%D8%A8-%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-avocado/
آبمیوه گیری,پارس خزر,2104200,3.9,0.5,nan,70,nan,D:/آبمیوه گیری/image_7.jpg,https://www.digikala.com/product/dkp-26666/%D8%A2%D8%A8-%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-jc-700p/
آبمیوه گیری,تولیپس,4400000,4.1,700,nan,75,دارای گنجایش 1.8,D:/آبمیوه گیری/image_8.jpg,https://www.digikala.com/product/dkp-3677206/%D8%A2%D8%A8-%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D8%AA%D9%88%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-fj-479/
آبمیوه گیری,پارس خزر,5100000,3.9,0.7,nan,60,دارای حجم 1,D:/آبمیوه گیری/image_9.jpg,https://www.digikala.com/product/dkp-33912/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-vitafruit/
آبمیوه گیری,فکر,8200000,4.1,1.0,nan,nan,دریچه بزرگ برای خروج راحت تر تفاله میوه و سبزیجات,D:/آبمیوه گیری/image_10.jpg,https://www.digikala.com/product/dkp-11135185/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D9%81%DA%A9%D8%B1-%D9%85%D8%AF%D9%84-vitaly/
آبمیوه گیری,ویداس,4350000,3.7,2,nan,قابلیت ورود یک سیب کامل,مخزن تفاله 2 ی,D:/آبمیوه گیری/image_11.jpg,https://www.digikala.com/product/dkp-567430/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-4-%DA%A9%D8%A7%D8%B1%D9%87-%D8%A7%D8%B3%D8%AA%DB%8C%D9%84-%D9%88%DB%8C%D8%AF%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-vir-3613/
آبمیوه گیری,دنور,3150000,4.1,1 ی,nan,70 میلیمتر,دارای مخزن 2 ی,D:/آبمیوه گیری/image_12.jpg,https://www.digikala.com/product/dkp-15997270/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D8%AF%D9%86%D9%88%D8%B1-%D9%85%D8%AF%D9%84-dr-5576-power/
آبمیوه گیری,پاناسونیک,6000000,3.2,nan,nan,85 میلی‌ متر,مخزن پسماند 2 ی,D:/آبمیوه گیری/image_13.jpg,https://www.digikala.com/product/dkp-17873852/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D9%BE%D8%A7%D9%86%D8%A7%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-%DA%86%D9%87%D8%A7%D8%B1-%DA%A9%D8%A7%D8%B1%D9%87-4in1/
آبمیوه گیری,فیلیپس,6400000,3.3,nan,nan,nan,2,D:/آبمیوه گیری/image_14.jpg,https://www.digikala.com/product/dkp-16630645/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-%DA%86%D9%87%D8%A7%D8%B1-%DA%A9%D8%A7%D8%B1%D9%87/
آبمیوه گیری,متفرقه,658220,3.2,nan,nan,nan,nan,D:/آبمیوه گیری/image_15.jpg,https://www.digikala.com/product/dkp-15030702/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D9%85%D8%AF%D9%84-1510-%D8%A2%D8%B3%D8%A7%D9%86%D8%B3%D9%88%D8%B1%DB%8C/
آبمیوه گیری,فیلیپس,9420600,3.7,0.8,nan,75,دارای حجم 1.2,D:/آبمیوه گیری/image_16.jpg,https://www.digikala.com/product/dkp-49647/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-hr1863/
آبمیوه گیری,فیلیپس,5950000,nan,nan,nan,nan,2,D:/آبمیوه گیری/image_17.jpg,https://www.digikala.com/product/dkp-18041803/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-%DA%86%D9%87%D8%A7%D8%B1-%DA%A9%D8%A7%D8%B1%D9%87-%DA%A9%D8%AF-1845/
آبمیوه گیری,تکنو,3470000,4.1,0.8,nan,75,2 ی و متحرک,D:/آبمیوه گیری/image_18.jpg,https://www.digikala.com/product/dkp-2168697/%D8%A2%D8%A8-%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D8%AA%DA%A9%D9%86%D9%88-%D9%85%D8%AF%D9%84-te-219/
آبمیوه گیری,میگل,4700000,4.4,0.5,nan,75,2.5,D:/آبمیوه گیری/image_19.jpg,https://www.digikala.com/product/dkp-3967112/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D9%85%DB%8C%DA%AF%D9%84-%D9%85%D8%AF%D9%84-gpj-182/
آبمیوه گیری,تولیپس,4960000,4.2,nan,nan,65 میلی‌متری,nan,D:/آبمیوه گیری/image_20.jpg,https://www.digikala.com/product/dkp-7925237/%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C-%D8%AA%D9%88%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-fj-a-480/
