category,brand,price,rating,power,blade_material,dimensions,food_prep_features,image_path,product_url
چرخ گوشت,پارس خزر,6469000,4.2,nan,nan,nan,nan,D:/چرخ گوشت/image_1.jpg,https://www.digikala.com/product/dkp-1488242/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-buffalo-2020/
چرخ گوشت,پاناسونیک,4500000,3.9,2500 وات,فولاد ضد زنگ,nan,nan,D:/چرخ گوشت/image_2.jpg,https://www.digikala.com/product/dkp-1133812/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%BE%D8%A7%D9%86%D8%A7%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-mk-2500/
چرخ گوشت,پارس خزر,5482300,4.1,1000 وات,فولاد,380 × 180 × 420,سوسیس ساز,D:/چرخ گوشت/image_3.jpg,https://www.digikala.com/product/dkp-843144/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-mg-1600p/
چرخ گوشت,تولیپس,3600000,4,380 وات,nan,300x200x300,nan,D:/چرخ گوشت/image_4.jpg,https://www.digikala.com/product/dkp-3323682/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%AA%D9%88%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-mk-2000/
چرخ گوشت,فیلیپس,15100000,4.3,1700 وات,استیل ضد زنگ,300x250x250,سوسیس ساز,D:/چرخ گوشت/image_5.jpg,https://www.digikala.com/product/dkp-2689846/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-hr2726/
چرخ گوشت,پارس خزر,5481200,3.9,1000 وات,فولاد,380 × 180 × 420,سوسیس ساز,D:/چرخ گوشت/image_6.jpg,https://www.digikala.com/product/dkp-26681/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-mg-1600p/
چرخ گوشت,کنوود,11100000,4.1,450 وات,استیل ضد زنگ,345 × 265 × 210,سوسیس ساز,D:/چرخ گوشت/image_7.jpg,https://www.digikala.com/product/dkp-32146/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%DA%A9%D9%86%D9%88%D9%88%D8%AF-%D9%85%D8%AF%D9%84-mg510/
چرخ گوشت,پاناسونیک,9350000,3.9,1500 وات,استیل,nan,nan,D:/چرخ گوشت/image_8.jpg,https://www.digikala.com/product/dkp-7838847/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%BE%D8%A7%D9%86%D8%A7%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-mk-mg1560/
چرخ گوشت,گوسونیک,4250000,3.9,1200 وات,nan,nan,nan,D:/چرخ گوشت/image_9.jpg,https://www.digikala.com/product/dkp-7711528/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%DA%AF%D9%88%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-gmg-826/
چرخ گوشت,پارس خزر,5322400,4.4,700 وات,nan,380× 235 × 170,nan,D:/چرخ گوشت/image_10.jpg,https://www.digikala.com/product/dkp-2310208/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-mg-1400-plus/
