category,brand,price,rating,bowl_material,bowl_capacity,accessories_count,bowl_type,blade_material,image_path,product_url
همزن,میگل,6817000,4.3,استیل,4,سه,ثابت,استیل ضدزنگ,D:/همزن/image_1.jpg,https://www.digikala.com/product/dkp-2982415/%D9%87%D9%85%D8%B2%D9%86-%D8%A8%D8%B1%D9%82%DB%8C-%D9%85%DB%8C%DA%AF%D9%84-%D9%85%D8%AF%D9%84-gkm-600/
همزن,گوسونیک,6733510,4.1,استیل,5,سه,ثابت,فلزی,D:/همزن/image_2.jpg,https://www.digikala.com/product/dkp-5294667/%D9%87%D9%85%D8%B2%D9%86-%DA%AF%D9%88%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-gsm-905/
همزن,متفرقه,470000,3.8,بدون کاسه,nan,دو,بدون کاسه,استیل,D:/همزن/image_3.jpg,https://www.digikala.com/product/dkp-1661444/%D9%87%D9%85%D8%B2%D9%86-%D8%A8%D8%B1%D9%82%DB%8C-%D8%A7%D8%B3%DA%A9%D8%A7%D8%B1%D9%84%D8%AA-%D9%85%D8%AF%D9%84-he-133/
همزن,گوسونیک,9100000,4.3,استیل,10,سه,متحرک,استیل ضد زنگ,D:/همزن/image_4.jpg,https://www.digikala.com/product/dkp-3967814/%D9%87%D9%85%D8%B2%D9%86-%DA%AF%D9%88%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-gsm-910/
همزن,نیکووا,1399000,4.1,nan,nan,دو,بدون کاسه,استیل ضد زنگ,D:/همزن/image_5.jpg,https://www.digikala.com/product/dkp-11481237/%D9%87%D9%85%D8%B2%D9%86-%D9%86%DB%8C%DA%A9%D9%88%D9%88%D8%A7-%D9%85%D8%AF%D9%84-nhm-71/
همزن,تک الکتریک,2050000,4.1,استیل,3.4,دو,متحرک,استیل,D:/همزن/image_6.jpg,https://www.digikala.com/product/dkp-3413677/%D9%87%D9%85%D8%B2%D9%86-%D8%A8%D8%B1%D9%82%DB%8C-%D8%AA%DA%A9-%D8%A7%D9%84%DA%A9%D8%AA%D8%B1%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-bm1108-30ws/
همزن,پارس خزر,3205800,4.2,پلاستیک,nan,دو,متحرک,nan,D:/همزن/image_7.jpg,https://www.digikala.com/product/dkp-13550022/%D9%87%D9%85%D8%B2%D9%86-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-herford/
همزن,هنریچ,12650000,4.5,استیل,8,سه,ثابت,استیل,D:/همزن/image_8.jpg,https://www.digikala.com/product/dkp-8558657/%D9%87%D9%85%D8%B2%D9%86-%D9%87%D9%86%D8%B1%DB%8C%DA%86-%D9%85%D8%AF%D9%84-km-8078/
همزن,گوسونیک,2881110,4.3,nan,3.5,nan,nan,استیل,D:/همزن/image_9.jpg,https://www.digikala.com/product/dkp-7269987/%D9%87%D9%85%D8%B2%D9%86-%DA%AF%D9%88%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-ghm-705/
همزن,گوسونیک,1392710,4.4,nan,nan,چهار,nan,استیل,D:/همزن/image_10.jpg,https://www.digikala.com/product/dkp-7898571/%D9%87%D9%85%D8%B2%D9%86-%DA%AF%D9%88%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-ghm-838/
