category,brand,price,rating,capacity,energy_rating,height,width,depth,water_consumption,power_consumption,display,door_opening,image_path,product_url
ماشین لباسشویی,ایکس ویژن,30294270,4.3,9 کیلوگرم,A+++,85.0,59.5,56.0,B,nan,نشانگر LED,به سمت چپ,D:/ماشین لباسشویی/image_1.jpg,https://www.digikala.com/product/dkp-11430289/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%A7%DB%8C%DA%A9%D8%B3-%D9%88%DB%8C%DA%98%D9%86-%D9%85%D8%AF%D9%84-tf94-awblasbl-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-9-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,پاکشوما,16929000,4.2,12 کیلوگرم,A+,103.0,66.0,65.0,A+,nan,لمسی,به سمت بالا,D:/ماشین لباسشویی/image_2.jpg,https://www.digikala.com/product/dkp-14010270/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-tlab-1201w-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-12-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,اسنوا,30961150,4.0,9 کیلوگرم,A+++,85.0,60.0,60.0,C,nan,نشانگر LED,به سمت چپ,D:/ماشین لباسشویی/image_3.jpg,https://www.digikala.com/product/dkp-16309371/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-9-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-swm-e92w/
ماشین لباسشویی,پاکشوما,7649000,4.3,15.5 کیلوگرم,A,95.0,93.0,48.0,C,nan,nan,به سمت بالا,D:/ماشین لباسشویی/image_4.jpg,https://www.digikala.com/product/dkp-16343902/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D9%86%DB%8C%D9%85%D9%87-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-ptf-1504-iaj-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-155-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,دوو,22968000,4.0,7 کیلوگرم,A+++,85.0,59.5,63.4,nan,nan,صفحه نمایش,به سمت چپ,D:/ماشین لباسشویی/image_5.jpg,https://www.digikala.com/product/dkp-16452689/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-lm-720s-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-7-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,پاکشوما,8390000,4.3,15.5 کیلوگرم,nan,95.0,93.0,48.0,C,A,nan,به سمت بالا,D:/ماشین لباسشویی/image_6.jpg,https://www.digikala.com/product/dkp-11089222/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-ptf-1504-aj-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-155-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,ایکس ویژن,23600000,4.3,7 کیلوگرم,nan,85.0,59.6,56.0,nan,nan,صفحه نمایش,به سمت چپ,D:/ماشین لباسشویی/image_7.jpg,https://www.digikala.com/product/dkp-4181844/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%DB%8C%DA%A9%D8%B3-%D9%88%DB%8C%DA%98%D9%86-%D9%85%D8%AF%D9%84-tg72-bwbs-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-7-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,فریدولین,10800000,4.0,6 کیلوگرم,B,915.0,540.0,590.0,E,nan,صفحه نمایش نشانگر LED,به سمت بالا,D:/ماشین لباسشویی/image_8.jpg,https://www.digikala.com/product/dkp-646139/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-6-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%81%D8%B1%DB%8C%D8%AF%D9%88%D9%84%DB%8C%D9%86-%D9%85%D8%AF%D9%84-sw60/
ماشین لباسشویی,اسنوا,30489000,4.4,8 کیلوگرم,A+++,85.0,59.5,63.5,C,nan,nan,به سمت چپ,D:/ماشین لباسشویی/image_9.jpg,https://www.digikala.com/product/dkp-16713977/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-swm-d80s/
ماشین لباسشویی,فریدولین,5489000,3.9,10 کیلوگرم,nan,99.1,58.0,58.0,D,B,nan,به سمت بالا,D:/ماشین لباسشویی/image_10.jpg,https://www.digikala.com/product/dkp-1947272/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D9%81%D8%B1%DB%8C%D8%AF%D9%88%D9%84%DB%8C%D9%86-%D9%85%D8%AF%D9%84-sw100-new-version-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-10-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,اسنوا,36756100,4.5,9 کیلوگرم,A+++,85.0,59.5,63.5,C,nan,لمسی صفحه نمایش نشانگر LED,به سمت چپ,D:/ماشین لباسشویی/image_11.jpg,https://www.digikala.com/product/dkp-16714484/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-9-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-swm-f92s/
ماشین لباسشویی,پاکشوما,31000000,4.5,9 کیلوگرم,nan,85.0,60.0,60.0,C,A++,صفحه نمایش,به سمت چپ,D:/ماشین لباسشویی/image_12.jpg,https://www.digikala.com/product/dkp-11079602/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-tfb-96402-st-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-9-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85-clone-1-of-9609782/
ماشین لباسشویی,دوو,38280000,4.2,9 کیلوگرم,A+++,85.0,59.5,63.5,A,nan,صفحه نمایش نشانگر LED,به سمت چپ,D:/ماشین لباسشویی/image_13.jpg,https://www.digikala.com/product/dkp-16895588/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-lm-990s-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-9-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
